molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
145,rifampicin,119.083,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C  ,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,121.063,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,121.1,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,123.079,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,124.083,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,125.096,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,131.083,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,133.099,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,135.08,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,135.113,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,137.094,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,138.097,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,139.074,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,141.089,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
,,143.082,,822.95299,4.33542,14,6,220.149999999,4,2,4,0.1094848447,,,,1,0.535,-5.175,,,,,,,,,1.534,0,0,0.2,0.6,0.2,0.6,0,0,0.8,0,0.2,1,1
