molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
184	amidopyrine	44.1	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C  	231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		56.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		57.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		58.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		68.4		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		70		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		70.8		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		72.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		73.6		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		78.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		80.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		80.5		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		82.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		83.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		84.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		85.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		87		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		89.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		91.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		94.9		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		95.9		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		97.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		98		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		99		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		100		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		101		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		102.7		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		105.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		106		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		109.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		111.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		113.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		115.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		117		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		118.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		120.3		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		123.1		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
		124.2		231.299	1.55042	2	0	30.17	2	2	0	0.7846896256
