Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
dcm@@@iJYYwhUtH@@@@@	003438-48-0				1.920000000000000e+000	EXP		54-58	1.200000000000000e-003	EST	25	1.633000000000000e+003	25	156	
dmUH@DDDfUufijh@@	003845-76-9				0.000000000000000e+000	EXP			7.070000000000000e-004	EST	25	3.487000000000000e+003	25	156	
dmTD@@QIe^UjZj@@	003953-10-4				3.110000000000000e+000	EST		-70	1.700000000000000e+000	EXP	25	1.573000000000000e+002	25	156	
deUH`Dr@|LddlRPru@@@@	004707-88-4				-1.300000000000000e+000	EST						1.110000000000000e+004	25	156	
dmtL@@SlbfbTQzVfjj@@	005270-62-2				1.360000000000000e+000	EST						2.500000000000000e+004	20	156	
dmtH@@RYe~[jjjj@@	005563-78-0				3.380000000000000e+000	EST								156	
deTD`Fx@aJU{\Jefj@@	005751-80-4				2.320000000000000e+000	EXP			8.409999999999999e-002	EST	25	7.435000000000000e+002	25	156	
deV@`HBHrJQPiCMT@@@@	005882-44-0				-1.510000000000000e+000	EST		90						156	
dmTD@@[HhdhbfjZh@@	006175-23-1				2.020000000000000e+000	EST		-18						156	
dmtD@@QIe[VUZjjh@@	006222-35-1				3.130000000000000e+000	EST								156	
dmuBAHdDIXeNR[e][fijYBA`	006236-05-1				3.000000000000000e-001	EXP		163	5.090000000000000e-005	EST	25	1.000000000000000e+003	25	156	
dmTH@@RUgVjji`@	006812-78-8				3.630000000000000e+000	EST		< 25						156	
dmT@@LdbJRRjjj`@	006975-98-0				5.670000000000000e+000	EST		-48.9	6.020000000000000e-001	EXT	25	2.971000000000000e-001	25	156	
deT``LHY@HRf][Jiej`@	007120-01-6				1.240000000000000e+000	EXP			7.890000000000000e-004	EST	25	6.332000000000000e+004	25	156	
dclH@@RVYWZy]YjUjP@	007206-61-3				2.640000000000000e+000	EXP			7.920000000000000e-003	EST	25	3.963000000000000e+002	25	156	
dcM`@@pnWTeeYunx@J|@@	007615-57-8				9.000000000000000e-002	EST		119						156	
deTH`BBHRYfua``b@@	010283-15-5				3.250000000000000e+000	EST		27						156	
dmTH@@RUUUjjjP@	013019-22-2				3.650000000000000e+000	EST								156	
dmT@@DjWuZjjh@@	013151-34-3				5.670000000000000e+000	EST		-92.9						156	
dmtH@@RYeiYZjjj@@	013491-79-7				3.420000000000000e+000	EST		45						156	
dmTD@@YIeY}jfj@@	014090-88-1				2.230000000000000e+000	EXP			1.690000000000000e-001	EST	25	8.872000000000002e+002	25	156	
dmuD@DhERYYykfjjf@@	014771-77-8				-1.500000000000000e+000	EST						2.000000000000000e+004		156	
dmtH@@RYeeZZjjj@@	015356-70-4				3.380000000000000e+000	EST		38						156	
dmuD@DhNRYYeeVjfj@@	016395-58-7				-1.340000000000000e+000	EXP			1.440000000000000e-007	EST	25	4.863999999999999e+004	25	156	
dmuL@DpIWHhhhkBYjjfP@	017245-63-5				-8.000000000000000e-001	EST						1.670000000000000e+004		156	
dmuD@HhIRVYeyYijjAHRP	018310-18-4				-9.300000000000001e-001	EST						4.000000000000000e+003	25	156	
dmuD@HhARVYUzYijjAHRP	018310-19-5				-9.300000000000001e-001	EST						3.400000000000000e+003	25	156	
dmTD@@{HhhcMFjfh@@	018362-64-6				2.220000000000000e+000	EXP			5.230000000000000e-001	EST	25	9.048000000000000e+002	25	156	
deTD`ND@aJY~|jfYj@@	019432-68-9				1.510000000000000e+000	EXP			8.410000000000002e-002	EST	25	3.656000000000000e+003	25	156	
dmuH@HPDeeUYUjjj`@	020917-50-4				2.040000000000000e+000	EXP			7.299999999999999e-003	EST	25	1.289000000000000e+003	25	156	
dmtH@@RZWv[jjjj@@	021129-27-1				3.420000000000000e+000	EST								156	
dmtdAHKaAHeNR[ee[fiZj@@	021677-57-6				5.000000000000000e-002	EST	25		1.710000000000000e-005	EST	25	2.611000000000000e+004	25	156	
dmtH@@RYWZijjjj@@	021862-63-5				3.090000000000000e+000	EXP			2.630000000000000e-002	EST	25	5.289000000000001e+002	25	156	
dmtH@@RYeeZZjjj@@	023283-97-8				3.190000000000000e+000	EXP		79.5						156	
dmuB@NDDYTfygqehHB@@	023945-44-0				1.210000000000000e+000	EST		283.0				1.800000000000000e+003	20	156	
dmuL@DpFEIeYznZifh@@	024448-94-0				-4.400000000000000e-001	EXP			8.239999999999998e-010	EST	25	1.693000000000000e+005	25	156	
dmTH@@RUgVjjf`@	026489-01-0				3.560000000000000e+000	EST			1.300000000000000e-002	EST	25	2.118000000000000e+002	25	156	
eb^P@@@LdbbbRp\bbRRhtbbRRkD`bbQVUSpOtH@DA@@@T@@AP@@@@	027138-19-8				4.210000000000000e+000	EST			5.220000000000000e-002	EXT	25	1.244000000000000e+001	25	156	
dcl@@DjYeUiEP@HB@@@	028804-88-8				4.260000000000000e+000	EST	25		8.400000000000000e-003	EST	25	1.485000000000000e+001	25	156	
dmLD@@sIEHhlRXYjjjj@@	030483-86-4				2.970000000000000e+000	EST						5.560000000000000e+004	20	156	
dmTD@@QImUUjji@@	031642-67-8				3.390000000000000e+000	EST		5						156	
gNpLADJHtQdTaUTh@	034819-62-0				3.420000000000000e+000	EST	25		1.990000000000000e+001	EST	25	8.481000000000000e+001	25	156	
dmu@@@WIEHiEvfjjj`@	036768-62-4				9.400000000000000e-001	EST		17						156	
dcm@@@uJUvUJet@H@@@@	037275-48-2				1.380000000000000e+000	EST			1.200000000000000e-003	EST	25	5.747000000000000e+003	25	156	
dmtd@Dii@\bbTQfifjii@@	038726-90-8				-8.700000000000000e-001	EXP			4.309999999999999e-007	EST	25	7.140999999999999e+003	25	156	
gNpLADFH\PdsMLpbP	039083-26-6				3.380000000000000e+000	EST	25		1.570000000000000e+001	EST	25	9.219000000000000e+001	25	156	
dcv@aHBlChg@iHkDeJuUUT@@	041550-04-3				-1.500000000000000e+000	EXP			4.190000000000000e-008	EST	25	2.934000000000000e+005	25	156	
dmuB@DpAeTfUejyjiV`@	050887-69-9				-1.100000000000000e-001	EST		334.0				1.700000000000000e+003		156	
gNpLADFH\PdsMLpbP	053978-04-4				3.380000000000000e+000	EST	25		1.570000000000000e+001	EST	25	9.219000000000000e+001	25	156	
dmtB@@KiRYg][fiZj@@	054620-68-7				-6.200000000000000e-001	EXP								156	
deTD`Nd@aJ[VVF`BH@@	054839-91-7				1.630000000000000e+000	EST						2.500000000000000e+003	20	156	
dmvh@HIndLbbbfJXViji@@	055973-02-9				-4.900000000000000e-001	EXP			2.480000000000000e-006	EST	25	1.887000000000000e+005	25	156	
deTD`ND@aJUv|Jeij@@	058414-52-1				1.460000000000000e+000	EXP			8.410000000000002e-002	EST	25	4.034000000000000e+003	25	156	
gNpLADJH\PdvmKP@	058679-08-6				3.170000000000000e+000	EST	25		2.500000000000000e+000	EST	25	1.392000000000000e+002	25	156	
dmuD@DpFRYUvJfjZj@@	058942-03-3				3.500000000000000e-001	EXP			6.190000000000000e-007	EST	25	1.753000000000000e+003	25	156	
dedHpIBPRPrPrJPiIUUU@@	065611-47-4				1.640000000000000e+000	EXP			1.930000000000000e+000	EST	25	9.167000000000000e+003	25	156	
gNpLADJHtQdTaUUX@	083682-43-3				2.890000000000000e+000	EST	25		1.390000000000000e+001	EST	25	2.394000000000000e+002	25	156	
gNpLADJH\PdvmLp@	083682-46-6				3.240000000000000e+000	EST	25		8.270000000000000e+000	EST	25	1.202000000000000e+002	25	156	
dmuD@DpFRYUuJfjZj@@	087052-64-0				7.500000000000000e-001	EST						5.000000000000000e+003	20	156	
dmtd@Dqi@TfUmaejff`@	102626-89-1				3.000000000000000e-001	EXP			2.310000000000000e-004	EST	25	1.935000000000000e+003	25	156	
dedHpIBPRPrPrJPjKUUU@@	107103-97-9				1.610000000000000e+000	EXP			4.090000000000000e+000	EST	25	9.723999999999998e+003	25	156	
dcv@aHCDChg@iHkEENuUUT@@	SRC000-56-7				-1.500000000000000e+000	EXP								156	
dedHpNBPRPrPrJPiSUUU@@	SRC001-42-7				1.700000000000000e+000	EXP								156	
dcv@aHCDChg@iHkDeJuUUT@@	SRC001-70-8				-1.500000000000000e+000	EXP								156	
dmtd@HJfADfyWVyYij`@	SRC001-99-2				3.000000000000000e-001	EXP								156	
dmUD@DHAR[eYZjfP@	SRC002-01-8				-8.600000000000000e-001	EXP								156	
deT``LIn@HRf_[Jiej`bh	SRC002-69-6				1.270000000000000e+000	EXP								156	
dmuB@DpNeTfY[vEjie`@	SRC003-28-6				-1.010000000000000e+000	EXP								156	
dmtd@DseBTfY[vEjjV`@	SRC003-61-8				-1.400000000000000e+000	EXP								156	
dcm@@@EJYYwhUtH@@@@@	SRC003-67-6				2.070000000000000e+000	EXP								156	
dmwB@DrPXURYV_kfjYZ@@	000087-39-8				-1.410000000000000e+000	EST		203.5 dec						157	
deVDaBxPbBd^RYeei``X@@	000088-73-3				2.240000000000000e+000	EXP		32.5	1.820000000000000e-002	EXT	25	4.410000000000000e+002	25	157	
dcn@@@rQQQQUUtj@D@P@@	000093-37-8				3.240000000000000e+000	EST		61				1.795000000000000e+003	25	157	
deVH`IXHaIe[Zz@Hh@@	000093-50-5				1.800000000000000e+000	EST		52						157	
deVD`La@BLddlRPrm@@@@	000098-10-2	1.010000000000000e+001	EXP		3.100000000000000e-001	EXP		151	8.940000000000001e-004	EST	25	4.300000000000000e+003	16	157	
deVDaNFPbNf^RYWZf`@f@@	000100-00-5				2.390000000000000e+000	EXP		83.5	2.190000000000000e-002	EXT	25	2.250000000000000e+002	20	157	
dmvH@BAIgYVUjjjh@@	000103-00-4				1.540000000000000e+000	EST			1.578000000000000e-002	EXT	25	3.465999999999999e+004	25	157	
gOxHDLQIeZx@@@	000109-04-6	9.000000000000000e-001	EXP	25	1.420000000000000e+000	EXP			1.530000000000000e+003			2.080000000000000e+004	20	157	
dmvL@LAIRYYgJfjjZ@@	000115-67-3				1.080000000000000e+000	EST			3.090000000000000e-005	EST	25	8.404000000000000e+003	25	157	
deVDaFFPbFf^RYVzn`BF@@	000121-73-3				2.460000000000000e+000	EXP		44.4	9.700000000000000e-002	EXP	25	2.730000000000000e+002	20	157	
dmvD@D@dfzurijjj`@	000126-93-2				1.720000000000000e+000	EST		90.0				1.052000000000000e+004	30	157	
dmvLaAJUBPFUyIf]yn``I`@@	000403-19-0				2.110000000000000e+000	EST	25	121	2.600000000000000e-003	EST	25	4.244000000000000e+003	25	157	
dmvLaAZUBPFU{HhdhUJz@Hf@@	000446-36-6	6.070000000000000e+000	EXP	25	1.910000000000000e+000	EXP		36	2.290000000000000e-002	EXP	25	1.400000000000000e+003	25	157	
diFLPAaL@HkPrRPkIZjp@	000513-15-5				-5.020000000000000e+000	EST		243.5						157	
dmvL@LAIRYYeJfjjZ@@	000520-77-4				1.080000000000000e+000	EST		76.5						157	
dmVH@DAIfUYjjj@@	000533-32-4				1.900000000000000e+000	EST						4.000000000000000e+004		157	
dmV@@@ReUfjjj`@	000544-00-3				3.610000000000000e+000	EST		-44						157	
dmVD@BAdf[]VfjhHq@	000584-92-9				3.710000000000000e+000	EST		59						157	
dmvBAHABfISdfyWVyjZjP@	000586-84-5				8.900000000000000e-001	EXP		< 25	4.430000000000001e-002	EST	25	1.100000000000000e+004		157	
dazDPLi`bDbDfnZiX@@	000595-44-8				2.050000000000000e+000	EST						5.000000000000000e+003	20	157	
gOxHBLQIeZx@@@	000626-55-1	2.910000000000000e+000	EXP	20	1.600000000000000e+000	EXP		-27.3	1.753000000000000e+000	EXP	25	3.006000000000000e+003	25	157	
dmvJ@HABeTfyWfyZZfP@	000645-12-5				8.100000000000001e-001	EST		186						157	
dmV`@@SF{HhdhbfjZh@@	000692-13-7				-1.200000000000000e+000	EXP			1.640000000000000e-004	EST	25	7.460000000000000e+005	25	157	
dcn@@@rQQJKHtpj@@DP@@	000826-77-7				3.240000000000000e+000	EST		22						157	
dcn@@@rQQQQDtLj@D@P@@	000877-43-0	5.020000000000000e+000	EXP	25	3.240000000000000e+000	EST		60	4.340000000000000e-003	EXT	24	1.212000000000000e+002	25	157	
dmwLAHJ`QXeNR[eo[ffji@@	000936-05-0				-3.500000000000000e-001	EXP			6.529999999999998e-007	EST	25	5.718000000000000e+004	25	157	
dmVH@DAImUUjjj@@	001120-07-6				2.280000000000000e+000	EST		99.5						157	
gOxHFLQIeZx@@@	001120-87-2	3.780000000000000e+000	EXP	20	1.540000000000000e+000	EXP		0.5	1.390000000000000e+000	EST	25	3.383000000000000e+003	25	157	
dmvD@EADfyW^Ejjj`@	001197-18-8				-1.900000000000000e+000	EST		>300				1.667000000000000e+005		157	
dcn@@@rQQQQEUtz@DA@@@	001198-37-4	5.119999999999999e+000	EXP	25	3.240000000000000e+000	EST			7.937000000000001e-003	EXT	25	1.795000000000000e+003	25	157	
dcn@@@rQQQQRutz@DA@@@	001463-17-8				3.240000000000000e+000	EST		27						157	
dcn@@@RfYgzz]@B@`@@	001613-34-9				3.180000000000000e+000	EST								157	
dcn@@@rQQQQHutz@DA@@@	001721-89-7				3.240000000000000e+000	EST		68.5						157	
dco@@@rldTRTJULn`P@@@@@	001722-18-5				1.930000000000000e+000	EXP			6.150000000000000e-004	EST	25	1.585000000000000e+003	25	157	
dcn@@@RfVWzXU@@BH@@	001873-54-7				3.180000000000000e+000	EST								157	
dmV@@@RUUUjjj`@	002016-57-1	1.064000000000000e+001	EXP	25	3.780000000000000e+000	EST		17	1.000000000000000e-001	EST	25	5.500000000000000e+002	25	157	
dmV@@@ReUUjjj`@	002050-92-2	1.116000000000000e+001	EXP	26	3.760000000000000e+000	EST		-7.85	1.530000000000000e-001	EXP	25	4.444000000000000e+002	25	157	
dcn@@@rRIHqIER{Tl@D@@	002051-97-0				3.130000000000000e+000	EST		15						157	
dcn@@@rQSQJH|J{P@@@@@	002216-68-4	3.670000000000000e+000	EXP	27	2.880000000000000e+000	EXP		174	2.690000000000000e-003	EST	25	2.446000000000000e+002	25	157	
deVH`BDHaIf_VzB@h@@	002401-24-3				1.800000000000000e+000	EST		27						157	
dcn@@@RfVUZX]@@B`@@	002436-92-2				3.240000000000000e+000	EST		73.5						157	
dcn@@@rQQJJZupj@@DP@@	002436-93-3				3.240000000000000e+000	EST								157	
dcn@@@RfV[jxU@@BH@@	002623-50-9				3.240000000000000e+000	EST		4.5						157	
dmVD@AALbbTQTZfj`@	002867-47-2				9.700000000000000e-001	EST		-30	8.290000000000000e-001	EST	25	1.061000000000000e+005	25	157	
dcnH@ACHeEDhcpkk@@@@@@	004363-93-3				1.860000000000000e+000	EST		51						157	
deVD`DFPbDfUnkh@a`@@	004684-94-0				1.500000000000000e+000	EXP			1.200000000000000e-003	EST	25	3.676000000000000e+003	25	157	
dmwLAHJ`QXeNrJZIPinZZjd@@	005006-67-7				-4.700000000000000e-001	EXP			7.059999999999999e-007	EST	25	7.240000000000000e+004	25	157	
deVH`IHHaIfUVFBBH@@	005345-54-0				1.850000000000000e+000	EXP		50-55	1.320000000000000e-002	EST	25	1.846000000000000e+003	25	157	
dcnH@LAIYVu[eu`@@@@@	005470-96-2				2.140000000000000e+000	EXP		70-72	6.680000000000000e-004	EST	25	1.049000000000000e+003	25	157	
deW@`DK`bDfUvih@J`@@	007145-60-0				9.800000000000000e-001	EXP			2.040000000000000e-003	EST	25	1.022000000000000e+004	25	157	
dazDPHJ`bDbDf{Zfh@@	013698-16-3				-2.400000000000000e-001	EST	25		4.450000000000000e+000	EST	25	1.116000000000000e+005	25	157	
dmvHPEdICiAIfVYa`Ha`@@	018063-03-1				2.500000000000000e-001	EXP		145-148	1.260000000000000e-003	EST	25	4.313999999999999e+004	25	157	
dmVD@ECDie]zjjl@@	018381-45-8				7.500000000000000e-001	EXP			6.370000000000001e-002	EST	25	8.759000000000000e+003	25	157	
deV@`D@HRYUTYZjj`@	021577-72-0				1.440000000000000e+000	EXP			4.140000000000000e-004	EST	25	4.149000000000000e+003	25	157	
dkm@aHLH`NbTFfUWGUN@@@@@@	022752-98-3				-4.540000000000000e+000	EST	25		6.260000000000000e-004	EST	25	1.000000000000000e+006	25	157	
dmwL@HHPSdfy[VEZVj`@	031876-68-3				1.900000000000000e-001	EXP			1.880000000000000e-004	EST	25	1.977000000000000e+004	25	157	
dmwLAHHPSheNR[emXViZj@@	035687-41-3				9.600000000000000e-001	EST	25		1.880000000000000e-004	EST	25	1.977000000000000e+004	25	157	
dmwLAHHPSheNR[eeXViji@@	035687-42-4				2.100000000000000e-001	EXP	25		9.900000000000000e-006	EST	25	1.901000000000000e+004	25	157	
deWH`DjQBHRYVzn`BF@@	036070-79-8				2.800000000000000e-001	EXP			4.709999999999999e-005	EST	25	1.983000000000000e+003	25	157	
deVH`DXHaIe[zz@Hh@@	042144-78-5				2.550000000000000e+000	EXP			1.690000000000000e-001	EST	25	4.661000000000000e+002	25	157	
dmwH@Dp`RY^UeVjjj@@	052662-76-7				1.500000000000000e-001	EXP			1.760000000000000e-004	EST	25	2.570000000000000e+003	25	157	
dmvL@D@YrJJHjXfZjfh@@	059857-86-2				-7.400000000000000e-001	EXP		15	3.210000000000000e-003	EST	25	1.000000000000000e+006	32	157	
deW@`Di`bDfUnkh@b`@@	061655-72-9				1.950000000000000e+000	EXP			8.030000000000000e-002	EST	25	1.517000000000000e+003	25	157	
deWH`DJQBHRYWZf`@f@@	066346-83-6				0.000000000000000e+000	EXP			3.460000000000000e-006	EST	25	3.438999999999999e+003	25	157	
dmwL@LZPPTfWeaejff`@	094470-73-2				4.200000000000000e-001	EXP			2.470000000000000e-002	EST	25	3.088000000000000e+004	25	157	
dmVH@DAInUyjjj@@	102450-10-2				2.130000000000000e+000	EST						7.000000000000000e+002	15	157	
deW@`Dk`bDfUvih@J`@@	136309-13-2				1.700000000000000e+000	EXP			8.030000000000000e-002	EST	25	2.480000000000000e+003	25	157	
dmvD@JADfueYUjjj`@	SRC001-25-8	3.580000000000000e+000	EXP		-2.450000000000000e+000	EXP								157	
deVD`FFPBLdTVafUSMM@@	SRC002-00-3				-2.050000000000000e+000	EXP								157	
dmvD@BADf{eYUjjj`@	SRC002-03-7				-9.000000000000000e-001	EXP								157	
dcn@@@rQQJJGTpj@@DP@@	SRC002-10-6				2.930000000000000e+000	EXP								157	
dcn@@@rRIHqIER{Tl@D@@	SRC002-76-6				2.710000000000000e+000	EXP								157	
dmtB@@RUrJIJHpjZjih@@	000079-91-4				-2.500000000000000e-001	EST		174.5				9.000000000000000e+003	25	158	
dclH@@RfumVy]h@@@@@	000093-04-9				3.470000000000000e+000	EXP		73.5	8.230000000000001e-003	EST	25	7.588000000000000e+001	25	158	
dmtl@DseAiRYUvJfjZZ@@	000097-59-6				-3.140000000000000e+000	EST		239	4.320000000000000e-009	EST	25	5.263000000000000e+003		158	
dmTL@@SlbbTTlZjZ`@	000097-72-3				1.240000000000000e+000	EST		-53.5						158	
deTL`HS@BLddlRPrm@@@@	000098-11-3	2.554000000000000e+000	EXP		-2.250000000000000e+000	EST		65	2.360000000000000e-005	EST	25	1.000000000000000e+006	25	158	
dmU@@@KIHdeBjjjh@@	000102-53-4				1.210000000000000e+000	EST						1.000000000000000e+005		158	
dmUB@DpJeTf^ufifXHZ@	000105-61-3				-4.500000000000000e-001	EST								158	
dmTD@@QIeUyjjj@@	000106-27-4				3.250000000000000e+000	EST		-73.2	9.500000000000002e-001	EXP	20	1.178000000000000e+002	25	158	
dmTD@@QIeWUjjj@@	000106-30-9				3.320000000000000e+000	EST		-66.1	6.799999999999999e-001	EXP	25	2.900000000000000e+002	25	158	
dmTL@@QdfUgvjZh@@	000106-31-0				1.390000000000000e+000	EST		-75	2.830000000000000e-001	EXP	25	4.561000000000000e+003	25	158	
dmTD@@QIeuUjjj@@	000111-11-5				3.320000000000000e+000	EST		-40	5.404000000000000e-001	EXT	25	6.440000000000001e+001	20	158	
dmTD@@QImUUjjj@@	000112-05-0	4.950000000000000e+000	EXP	25	3.420000000000000e+000	EXP		12.3	1.650000000000000e-003	EXP	25	2.840000000000000e+002	20	158	
dmTD@@QIgUUjjj@@	000112-06-1				3.320000000000000e+000	EST		-50.2						158	
dmTH@@RUUUjjj`@	000112-30-1				4.570000000000000e+000	EXP		6.9	8.510000000000000e-003	EXP	25	3.700000000000000e+001	25	158	
dmTD@@QIUUUjjj@@	000112-32-3				3.260000000000000e+000	EST		-39.1						158	
dmuL@DpIUIfVTfZjjX@@	000116-25-6				-1.530000000000000e+000	EST		100				1.000000000000000e+006		158	
dmuD@LTDRYYWeVjjj@@	000120-43-4				2.300000000000000e-001	EST								158	
dclD@@UIfV][iuhFAH@@	000130-15-4				1.710000000000000e+000	EXP		128.5	1.800000000000000e-004	EST	25	6.678000000000000e+002	25	158	
dmU@@@gIHddUJjjh@@	000140-80-7				1.440000000000000e+000	EST								158	
dmTH@@RZWyjjj`@	000151-19-9				3.600000000000000e+000	EST		-67.5						158	
deT@p@\HdDdLddLrPsU@@@@	000328-57-4				3.210000000000000e+000	EST	25		7.598000000000000e+000	EXP	25	1.255000000000000e+002	25	158	
dmtDPITICiAIfVYa`Ha`@@	000385-00-2				1.590000000000000e+000	EXP		159	2.570000000000000e-002	EST	25	3.063000000000000e+003	25	158	
deTHPDBHZPR[f\YfB@@@	000393-52-2				1.640000000000000e+000	EST		4						158	
deTHPDBHfPR[e_af@B@@	000403-43-0				1.640000000000000e+000	EST		9						158	
dcm@@@{HhheEBtkl@D@@@@	000479-27-6	4.440000000000000e+000	EXP	25	1.780000000000000e+000	EXP		66.5	2.930000000000000e-005	EST	25	8.500000000000000e+002	25	158	
dc\@@DjYVYayYtHbJb`@	000480-72-8				4.130000000000000e+000	EST		12.8						158	
dcm@@@yJUnyIit@bZa@@	000487-19-4				2.000000000000000e+000	EST								158	
dmUB@DpJeTf^ufifXHZ@	000502-45-4				-4.500000000000000e-001	EST						1.900000000000000e+003	20	158	
gNpLADXH\PdjmUP@	000505-60-2				2.410000000000000e+000	EST		13.5	1.100000000000000e-001	EXP	25	6.840000000000000e+002	25	158	
dclD@@IIf[WXUui`PH@@	000524-42-5				2.110000000000000e+000	EST		146						158	
dmTD@@QIeUujjj@@	000540-18-1				3.320000000000000e+000	EST		-73.2	5.690000000000000e-001	EST	25	6.000000000000000e+001	20	158	
dmTH@@ReUfjjj`@	000544-01-4				4.250000000000000e+000	EXP			1.400000000000000e+000	EXP	25	2.000000000000000e+002	25	158	
dmTD@@QIeVYjjj@@	000589-59-3				3.170000000000000e+000	EST			1.843000000000000e+000	EXP	25	1.361000000000000e+002	25	158	
dmTL@@SlbbRTQZjZ`@	000591-60-6				7.800000000000000e-001	EST		-35.6						158	
dmTD@@QIeUUjjj@@	000591-68-4				3.320000000000000e+000	EST		-92.8						158	
dmTL@@RTfVefjjX@@	000597-04-6				6.700000000000000e-001	EST								158	
dmTL@@PTfVVVjih@@	000607-97-6				7.100000000000000e-001	EST								158	
dmTB@@RiRYY~Zfi`@	000615-79-2				-1.530000000000000e+000	EST		18						158	
dmTB@@PYrJIPjYjZZ@@	000617-52-7				8.200000000000000e-001	EST		38						158	
dmTB@@PYRY[{Zff``h	000617-53-8				1.760000000000000e+000	EST						8.200000000000000e+002	15	158	
dmTB@@PYRY[{Zff``h	000617-54-9				1.760000000000000e+000	EST						2.860000000000000e+004	15	158	
dmTD@@QIeU]jjj@@	000626-77-7				3.320000000000000e+000	EST	25	-68.7	2.000000000000000e+000	EXP	43	1.019000000000000e+002	25	158	
dmtL@@SdfUyYUjjj`@	000637-65-0				1.390000000000000e+000	EST								158	
gOpH@bILkW@@@@	000645-96-5				2.290000000000000e+000	EST								158	
dmTL@@PTfyVVjih@@	000688-04-0				1.310000000000000e+000	EXP			4.610000000000000e-003	EST	25	1.318000000000000e+004	25	158	
dmTH@@ReUUjjj`@	000693-65-2				4.000000000000000e+000	EST		-69	8.570000000000002e-001	EXP	25	2.696000000000000e+001	25	158	
dcm@@@IIf]U[evB@@@@@	000771-97-1				1.540000000000000e+000	EXP		199	2.930000000000000e-005	EST	25	3.375000000000000e+003	25	158	
dcl@@DjYU_egXFBbH@@	000771-98-2				4.720000000000000e+000	EST		-11						158	
dmTB@@RiRYyVZje`@	000869-29-4				7.800000000000000e-001	EXP		-37.6	3.770000000000000e+000	EST	25	9.000000000000000e+003	25	158	
dmUH@HPDeeUVjjh@@	000924-16-3				2.630000000000000e+000	EXP		< 25	4.690000000000000e-002	EXT	25	1.270000000000000e+003	24	158	
dcm@@@IIf[WXUvB@@@@@	000938-25-0				1.340000000000000e+000	EST		98.5						158	
dmUH@HPDeeYfjjh@@	000997-95-5				2.340000000000000e+000	EXP			4.280000000000001e-002	EST	25	6.998000000000001e+002	25	158	
ded@`@\DjUUjjj@@	000998-29-8				5.120000000000000e+000	EST								158	
dcm@@@cIEEEJdUKluP@H@@	001128-54-7				2.370000000000000e+000	EST		37						158	
dedHHLBPRPZPzPrJSJHuUT`@	001428-33-7													158	
dmTD@@QIeWejjj@@	001561-10-0				3.250000000000000e+000	EST								158	
deTL`HS@|LddlRPru@@@@	001571-33-1	1.830000000000000e+000	EXP		5.400000000000000e-001	EXP		163-166	1.570000000000000e-006	EST	25	1.900000000000000e+005	15	158	
dclH@@RVUmVy]h@@@@@	001592-38-7				2.210000000000000e+000	EXP		81.3	2.890000000000000e-005	EST	25	1.825000000000000e+003	25	158	
deTHPDBHFPR[e[if@H@@	001711-07-5				1.640000000000000e+000	EST		-30						158	
dmTL@@RTfWUfjjX@@	002046-21-1				5.500000000000000e-001	EXP			2.200000000000000e-001	EST	25	2.365000000000000e+004	25	158	
dmTD@@SHheDUFjjh@@	002050-01-3				3.170000000000000e+000	EST								158	
dmTH@@RYU]jjj`@	002051-31-2				3.710000000000000e+000	EST		-11						158	
dmTH@@rJQIHjjjj@@	002051-32-3				3.680000000000000e+000	EST								158	
dmTH@@rIQQERjjj@@	002051-33-4				3.570000000000000e+000	EST								158	
dclH@@rQSQJH|J{P@@@@@	002216-69-5				3.450000000000000e+000	EXP		<-10	8.230000000000001e-003	EST	25	1.000000000000000e+001	25	158	
dcm@@@cIMEDhcpkm@@@@@@	002243-55-2				1.970000000000000e+000	EST		117						158	
dcm@@@UIfV][iv@@B@@@	002243-61-0				7.900000000000000e-001	EST		120						158	
dcm@@@UIfV^XYv@@B@@@	002243-62-1	4.440000000000000e+000	EXP	25	8.900000000000000e-001	EXP		190	2.930000000000000e-005	EST	25	3.800000000000000e+002	25	158	
dmuB@LxDeTfU{bijjfP@	002255-39-2				-4.140000000000000e+000	EST								158	
dmUD@DpJRY{YZfj`@	002274-01-3				9.100000000000000e-001	EXP			2.090000000000000e-006	EST	25	1.165000000000000e+004	25	158	
dmTD@@SHhdhbfjjh@@	002311-46-8				3.250000000000000e+000	EST			1.040000000000000e+000	EST	25	1.178000000000000e+002	25	158	
dmTL@@P\bbTQRZfj`@	002370-63-0													158	
daxDPLhHchaI[njj@@	002419-73-0				1.400000000000000e-001	EST		126.5						158	
gNpLADVH\PdrluPdP	002431-54-1				3.090000000000000e+000	EST	25		8.190000000000000e-001	EST	25	1.578000000000000e+002	25	158	
deUD`LzD@HrRRqICJt@@@@	002438-76-8				-4.900000000000000e-001	EXP			4.020000000000000e-004	EST	25	1.828000000000000e+005	25	158	
dmTD@@QIe]Ujjj@@	002445-76-3				3.320000000000000e+000	EST		-57.5						158	
dmTD@@QInUUjjj@@	003274-28-0				3.010000000000000e+000	EXP			1.460000000000000e-002	EST	25	4.653000000000000e+002	25	158	
dcV@aHBlCheAjUujjj`@	003531-14-4				-9.800000000000000e-001	EXP			4.570000000000001e-008	EST	25	1.027000000000000e+005	25	158	
dclH@@RYWeRi]ZZ@B@@	003810-26-2				2.470000000000000e+000	EST		-23						158	
