molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
138,artemisinin,99.0454,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C  ,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,105.071,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,107.0862,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,109.0652,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,111.081,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,113.0598,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,119.0861,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,121.1019,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,123.0812,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,125.0969,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,131.0861,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,133.1018,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,135.1174,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,137.0971,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,139.0764,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,141.0551,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,143.0852,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,145.1015,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,146.1053,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,147.081,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,149.0965,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,150.0999,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,151.112,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,153.0551,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,157.0878,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,159.1172,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,160.1208,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,161.0962,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,162.0993,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,163.1119,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,164.1154,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,165.0908,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,167.1065,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,169.0863,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,171.0803,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,173.0961,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
,,174.1004,,282.3359999,2.3949,5,0,53.99,0,0,2,0.50420314,,,,0,0.933,-4.638,,,,,,,,,3.839,0,0,0.8,0,0,0.2,0.6,0,0,0,0.2,0.2,1
