molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
164	flumethasone	121.064	C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F  	410.457	1.8437	5	3	94.83	2	0	0	0.645896
		122.0685		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		123.0794		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		125.0588		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		133.0634		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		135.0796		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		136.0855		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		137.06		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		137.0954		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		139.0549		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		139.0731		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		139.0909		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		141.0899		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		145.0645		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		147.08		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		148.0811		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		149.0947		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		151.0745		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		153.0891		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		159.079		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		161.0941		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		163.0736		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		163.0905		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		165.0701		410.457	1.8437	5	3	94.83	2	0	0	0.645896
		165.0918		410.457	1.8437	5	3	94.83	2	0	0	0.645896
