molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
69	Desonide	135.0793	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@]35C)O 	416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		137.0584		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		139.0739		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		141.0537		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		147.0797		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		148.083		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		149.095		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		151.0739		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		155.0692		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		159.0791		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		161.0949		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		163.0741		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		171.0793		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		172.0829		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		173.0951		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		174.0987		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		175.1103		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		177.0897		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		181.0854		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		185.0955		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		187.0751		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		187.1109		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		189.0901		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		197.0953		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		199.1106		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		201.0908		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		209.0957		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		211.1108		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		213.1272		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		215.1059		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		221.0956		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		223.1106		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		224.1159		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		225.1268		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		226.1338		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		227.1418		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		228.146		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		235.1109		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		237.1265		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		238.1306		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		239.1056		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		239.1423		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		240.1455		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		241.1586		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		242.1611		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		247.1102		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		249.1268		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		250.1314		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		251.1429		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		252.1467		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		253.1212		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		253.1586		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		254.1609		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		255.1375		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		261.1267		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		262.1333		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		263.1427		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		264.1474		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		265.1585		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		266.1615		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		267.1371		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		267.1742		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		269.1534		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		275.1428		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		276.148		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		277.1222		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		277.1588		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		278.1616		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		279.1375		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		279.1692		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		280.1421		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		281.1532		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		282.1571		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		283.1689		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		284.1718		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		287.1426		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		288.1454		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		293.1534		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		294.1575		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		295.1695		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		296.1724		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		297.1477		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		305.1535		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		306.1567		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
		307.1609		416.514	2.326	6	2	93.06	2	0	0	0.7177493123
