molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,herg
,,199.0937,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,201.0735,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,202.0765,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,203.0864,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,205.0651,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,206.0684,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,207.0792,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,209.0936,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,213.1075,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,221.0949,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
