Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
148.0518,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
149.925,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
152.029,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
152.1856,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
153.0004,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
153.013,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
156.024017,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
158.988098,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
159.949387,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
162.1854,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
163.51597,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
178.0088,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
178.9105,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
