Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
174.017944,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
179.831253,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
194.020645,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
205.031494,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
207.540955,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
214.028442,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
227.93306,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
232.039215,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
234.03511,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
234.126068,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
234.244263,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
251.367798,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
