mz,pains,fsp3,cacao,,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
214.737564,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
251.343781,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
269.077972,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
269.81424,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
284.895416,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
300.026276,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
314.020233,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
321.049011,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
324.972351,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
344.995422,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
345.826599,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
356.997284,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
357.026062,0,0.067,-5.174,0.163,-6.778,3.897,1.26,3.652,5.083,7.087,,-1.848,0,0,0,1,0,0.2,0,0,0.2,0.2,0,0.8,0.6
