molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
208	medroxyprogesteroneacetate	124.0832	C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C  	386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		133.0999		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		135.079		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		137.0954		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		145.1001		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		147.1159		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		151.1108		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		157.1001		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		159.1158		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		161.0943		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		161.1314		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		163.1109		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		169.0999		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		171.1157		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		173.1315		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		175.1107		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		175.1472		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		177.126		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		183.116		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		185.1317		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		187.111		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		187.1476		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		189.1263		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		191.1422		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		197.1319		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		199.1473		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		201.1625		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		203.1425		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		205.158		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		206.1612		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		209.1312		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		211.1468		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		213.1263		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		213.1628		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		214.1343		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		215.1421		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		217.1579		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		223.1478		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		224.1552		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		225.1623		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		226.1667		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		227.1424		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		227.1788		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		229.1583		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		231.1739		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		239.1429		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		241.158		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		243.174		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		245.1894		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		249.1627		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		251.1782		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		253.1586		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		255.174		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		256.1779		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		257.1536		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		258.1566		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		263.1793		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		265.1948		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		266.2006		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		267.1744		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		267.2105		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		268.1773		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		268.2136		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		269.1884		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		281.1893		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		282.1971		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		283.2052		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		284.2112		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		285.2215		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		286.2247		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		287.2274		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		291.2106		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		303.232		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		307.2056		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		308.2089		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		309.2214		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		310.2243		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		325.2164		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		326.2197		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		327.2325		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		328.2357		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		329.238		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		345.2423		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		385.2379		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		386.2403		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		387.2537		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		388.2568		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		389.2596		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
		127.0871		386.532	4.6552	4	0	60.44	2	0	1	0.6479725906
