mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
260.37915,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
261.921295,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
262.527496,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
271.291656,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
282.989349,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
284.987823,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
293.977234,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
294.96109,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
318.966492,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
338.974304,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
354.942871,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
364.468842,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
366.029388,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
379.937714,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
395.536469,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
401.272736,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
