molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg
106,prednisolone,83.0501,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,85.0633,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,93.0704,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,95.0863,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,97.065,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,101.0604,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,105.0711,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,107.0867,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,109.0613,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,109.1012,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,111.0806,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,119.0856,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,121.0652,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,121.1077,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,123.0803,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,125.0595,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,131.0858,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,133.0647,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,133.1018,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,135.0815,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,137.0957,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,139.0764,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,143.0832,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,145.0605,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,145.0991,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,147.081,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,149.097,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,151.0764,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,153.0901,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,155.0813,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,157.097,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,159.0818,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,161.0963,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,163.0774,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,165.092,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,169.0947,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,171.081,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,173.0968,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,175.1122,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,177.098,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,179.1065,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,181.1027,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,183.094,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,185.0965,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,187.1112,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,189.1026,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,191.1072,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,195.0889,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,197.0965,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,199.1118,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,201.1176,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,205.1124,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,208.0885,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,209.0982,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,211.1119,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,213.1219,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,215.1085,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,217.12,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,219.1137,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,221.098,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,223.1119,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,224.1204,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,225.1265,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,226.1344,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,227.1417,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,229.1204,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,231.1036,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,233.1047,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,234.1039,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,235.1136,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
,,237.1272,,360.45,1.5576,5,3,94.83,2,0,0,0.6946116753,,,,0,0.714,-4.715,,,,,,,,,2.651,0,1,1,0,0.6,0.6,0,0,0.4,0,0,0.2,0,0.304
