Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
gGXHD@aIUVd@	99.1567	Allyl mustard oil; Allyl isothiocyanate	LD50(mouse) p.o.<NL>LD50(mouse) inhalative	108.5 mg/kg<NL>25 mg/kg	Activator	TRPA1	Nociceptor TRP	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Mustard_oil	Origin: Brassica nigra<NL>insecticide; antibacterial	
e`TXM@@@`LAEMGLakgodifVUoV{UgoZIFeimjjjjjlJBhjjKRBHPaTKbRKqEKjSKY@@	457.4304	Amygdalin	LD50(rat) p.o.<NL>EC50 (hTAS2R16)	880 mg/kg<NL>20 mM	agonist	gp 120 site of CD4 receptor of T cells<NL>hTAS2R16	CD4<NL>hTAS2R	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://deposit.ddb.de/cgi-bin/dokserv?idn=971967865&dok_var=d1&dok_ext=pdf<NL>&filename=971967865.pdf (P.45)<NL>www.publish.csiro.au/?act=view_file&file_id=SA0402180.pdf 	Origin: Cotoneaster; Cydonia-; Malus-; Prunus-; Pyrus-species	
eolPH@@@LbbdRebTLRdJttTVxDLlbRZzvnjjjjjjjjjjiiRADPQJJr^Rj]PY[P@	426.726	alpha-Amyrin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Ficus variegata; Erythroxylum coca; Viburnum opulus	
eolPH@@@LbbdRebTLRdJttRtxDLlbRZzvNjjjjjjjjjjihRADPQJJr^Rj]P@	426.726	beta-amyrin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: -> alpha-amyrin	
dcm@@@{IDeCDdUKh@UUECP@	162.23515	(-)-Anabasin	LD50(mouse) i.v. 	16 mg/kg	agonist	alpha-7-nicotinic	Nicotinic acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ionchannels.org/showabstract.php?pmid=15265637<NL>http://en.wik<NL>ipedia.org/wiki/Anabasine 	Origin: Nicotiana glauca	
fduQ@@DVAdTTRbLRrRYrVcVCEjejjjjk@eIF`@	244.3368	Anagyrin	IC50	100 mcM			Nicotinic acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.drugs.com/npp/blue-cohosh.html 	Origin: Lupinus<NL>Teratogen in ruminants => Crooked Calf Disease	
ek`PN@@@DOHbnclbbtTbbbttfeLVbdTtlRjFfZjjjjjjjjjiPbTQa\IRFIrIRiSP@	412.52084	Andromedotoxin; (Grayanatoxin; Rhodotoxin; Asebotoxin; Acetylandromedol)	LDLo(cat) i.v.<NL>LD50(mouse) i.p.	400 mcg/kg<NL>1.28 mg/kg		Nav1.4	Sodium Channel	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.jbc.org/cgi/content/abstract/M212133200v1<NL>RTECS 	Origin: Andromeda polifolia; Kalmia latifolia; Pernetta mucronata; Rhododendron chysanthum	
eaSPG@@@NIOBfakgo`\Z^\bbbTTVLRRVbRfbRReTLsGBadVTrrIKPLQ@PQUUUUUUTEBIJi]RYKHyPpf@@	564.4943	Apiin; (Apiosid)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Petroselinum crispum; Aium graveolens	
fleAp@@XDkSdyHhheDeLUmRPXuUUTDAQRBQBJbd`@	272.25204	p-Arbutin; (Ericolin; Ursin)	TDLo(rat) p.o.<NL>TDLo(mouse) p.o.	13600 mg/kg<NL>0.25 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Arctostaphylos uva-ursi; Vacciunium myrtillus (in leaves)	
ec`TB@@GH`DNEdfVvUUvUuWDTL\RrJjFfZfjjjij@Jj@aaBIQFH@	382.45844	Aricin; (Cinchovatin; Heterophyllin; Reserpinin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Rauvolfia speicies; Aspidosperma marcgravianum Woodson	
figapBH@QzJ\}aJNrJZJIQQIQSQIDTcAKUoV`@B@ahJ`H@@	341.27435	Aristolochia acid; (Aristolochin)	LD50(rat) p.o.<NL>LD50(rat) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.v.<NL>LDLo(cat) i.v.	184 mg/kg<NL>74 mg/kg<NL>55.9 mg/kg<NL>38.4 mg/kg<NL>40 mg/kg		hTAS2R43; hTAS2R44	hTAS2R	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.jneurosci.org/cgi/content/full/24/45/10260?ck=nck<NL>RTECS 	Origin: Aristolochia clematis<NL>cancerogen	
do|L@@iTinU]_ihHHjXBC`	208.25604	alpha-Asaron; (trans-Arason)	IC50<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.p.	18.2 mcg/mL<NL>417.6 mg/kg<NL>176 mg/kg	inhibitor	NMDA-induced excitotoxicity in rat cortical cells		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/12052443	Origin: Asarum europaeum<NL>IC50 value from test with cortical cultures for 15 min to 300 mcM NMDA	
do|L@@iTinU]_ihHHjXBCP	208.25604	beta-Asaron; (cis-Asaron)	IC50<NL>LD50(rat) p.o.	26.5 mcg/ml<NL>777.6 mg/kg	inhibitor	NMDA-induced excitotoxicity in rat cortical cells	ionotropic glutamate	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/12052443 	Origin: Asarum europaeum<NL>IC50 value from test with cortical cultures for 15 min to 300 mcM NMDA	
dclD@@aJVfnKfFjjjfQEb@	168.23505	Ascaridol; (Ascarisin)	LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LDLo(dog) p.o.	200 mg/kg<NL>400 mg/kg<NL>250 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Chenopodium anthelmiticum; Peumus boldus	
fj}a`@@`QiIefYU^WlGvXiZjhJ`jJHfHQFUh@	289.37363	Atropin; (DL-Hyoscyamin; DL-Tropyltropat)	LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LD(human, adult) p.o.	622 mg/kg<NL>400 mg/kg<NL>100 mg	antimuscarinic agent	M	Muscarinic acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Atropine 	Origin: Tropan alkaloids	
fakAH@@DTxJZmzeKJkLk_^tYHt\tuUTuUUUUIDiFKbeMKtblh@	346.3307	Aucubin	Antidote LD50(mouse) ipr.<NL>Catarthic ED50 	200 mg/kg<NL>390 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://books.google.ch/books?id=gHr0ZGI-4c4C&pg=PA13&lpg=PA13&dq=aucubin%2<NL>Bcathartic+ed50&source=web&ots=Cer3Jqovml&sig=C2gLPY1gqxj3aRAfyiWGmaViWps&hl=de (P. 13) 	Origin: Aucuba japonica; Melampyrum- and Rhinanthus-species	
ek\tF@@Dc`NMON]\dTTTTTRTRbRvRrebRRLTrrdBljRFNAIEUMuMh@`hJJhjjhJ`B@`JBPTcR@@	608.7326	Berbamin	LD50(mouse) i.v.<NL>IC50 in Gleevec-sensitive Ph+ CML<NL>Gleevec-resistand Ph+ CML<NL>Ph- KG-1	18.8 mg/kg<NL>8.80 mcg/ml<NL>11.34 mcg/ml<NL>54.40 mcg/ml	inhibitor	bcr/abl tyrosine kinase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://linkinghub.elsevier.com/retrieve/pii/S0145212605002109<NL>http://ww<NL>w.patentstorm.us/patents/6123943/description.html 	Origin: Berberis amurensis; Berberis vulgaris; Mahonia aquifolium	
fewaPBM@hWl}SOdie]VUuVwLTxKUoAsV``JB@@bjH@@@	353.37286	Berberin	LD50(mouse) i.p.<NL>IC50 HT-1080<NL>IC50 SNU-638	20 mg/kg<NL>3.2 mcg/ml<NL>3.4 mcg/ml	cytotoxic activity	HT-1080 (human fibrosarcoma)<NL>SNU-638 (human stomach adenocarcinoma)	Cancer cell lines	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://lib.bioinfo.pl/meid:20312 	Origin: Berberis vulgaris; other Berberidaceae; Hydrastis canadensis	
f`i@P@@HTYIe[VUZLeiwfi@HjhP@@	216.19151	Bergapten; (5-MOP; 5-Methoxypsolaren)	LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>IC50	>30 g/kg<NL>8100 mg/kg<NL>19-36 mcM	inhibitor	CYP3A4	human liver cytochrome P450	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ualberta.ca/~csps/JPPS4(3)/S.Wanwimolruk/grapefruit.htm 	Origin: Angelica archangelica; Heracleum sphondylium; Petroselinum crispum; Ruta graveolens; Citrus aurantium ssp. bergamia<NL>phototxic; photomutagen	
dmvLABAESbgHihiEVejjjdrS@@	159.18422	Betonicin; (Achillein; L-4-Hydroxystachydrin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: achillea millefolium	
eklTB@@DB`MLilbbbTTRRbRRbRRSXTxdlRBjJZzFzvZjBhJhjjjjJYbaLRQJIrAP@	394.46945	Brucin; (Caniramin; Vomicin; 2,3-Dimethyloxystrychnin)	LDlo(dog) i.v.<NL>LD50(rat) p.o.	8 mg/kg<NL>1 mg/kg	allosteric modulator	M1	Muscarinic	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6TCS-41C2RWS-F&_<NL>user=6509835&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000050482&_version=1&_urlVersion=0&_userid=6509835&md5=8245516cd489eb834aa68ff5b1a9ab14<NL>http://de.wikipedia.org/wiki/Brucin<NL>RTECS 	Origin: Strychnos ignatii; Strychnos nux-vomica	
foAQ@@AFAdTRTraReFBe@ASUQ@@@	204.27203	Bufotenin	LD50(mouse) i.v.<NL>LD50(mouse) ipr.	25 mg/kg<NL>290 mg/kg	agonist	5-HT2C; 5-HT6; 5-HT2A; 5-HT1D; 5-HT1B	5-HT	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://sulcus.berkeley.edu/mcb/165_001/papers/manuscripts/_912.ht<NL>ml<NL> 	Origin: Piptadenia species<NL>toad venom	
fag`P@D`i[NRJIQZJZJIZEHeAZLGqTuhJ@B`jbjHhFP@	325.36285	Bulbocapnin	LD50(mouse) s.c. (D-shape)<NL>inhibition at 200mcM concentration<NL>Ki	195 mg/kg<NL>43.6 %<NL>200 nM	inhibitor	bovine adrenal tyrosine hydroxylase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/9270381 	Origin: Corydalis cava; Corydalis solida	
feH@@@DrwIHhliMEDdeDl\rTm^rEj^uGUUU@EAAAUPD`jRR|`@	346.47644	Calycanthin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Cycanthus floridus; Chimonanthus praecox<NL>convulsant	
fns@`@@FrQQRJIFIHkKJdeVCF`jHHHJj@@@	310.43542	Cannabinol	LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LD50(rat) i.v.<NL>LD50(monkey)<NL>Ki (of THC, Cannabinol is less active) 	666 mg/kg<NL>482 mg/kg<NL>29 mg/kg<NL>125 mg/kg<NL>CB1: 40.7 nM; CB2: 36.4 nM	part. agonist	CB1; CB2	Cannabinoid	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.jleukbio.org/cgi/content/full/78/6/1192/T1 	Origin: Cannabis sativa	
ffma`@D@\gHhddhddiddX[sUTDECUPBGh	305.41638	Capsaicin	LD50(mouse) p.o.<NL>LD50(mouse) ipr<NL>LD50(rat) ipr<NL>EC50	6.5 mg/kg<NL>47.2 mg/kg<NL>10.4 mg/kg<NL>40.0 nM	agonist	TRPV1	TRP	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://de.wikipedia.org/wiki/Capsaicin<NL>http://www.sciencedirect.com/sci<NL>ence?_ob=ArticleURL&_udi=B6T1J-49801HT-1&_user=6509835&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000050482&_version=1&_urlVersion=0&_userid=6509835&md5=22ae00deb6436a3788c1774969ba5004<NL>RTECS<NL> 	Origin: Capsicum species	
fn}@`@@LrJIJHiIIIIIJgH@bjjffh@cre@	316.4831	Cardol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Anacardium occidentale; Semecarpus anacarium	
f`q``@C@heMrkloIF]PPQUTTEP@	221.29886	Carnegin; (Pectenin)	LD50(mouse) i.p.	15.23 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Carnegia gigantea	
edRTB@@IF`DOh\bbRbTRQRRRRbRRfVvebqwpKUUUUUUUUUUMSABXedJdrNP@	478.715	Carpain						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Carica papaya	
fj}@p@@FmyI\dTTTRbTrSaXJShyhJHBbBJABDq@@	290.27017	(+)-Catechin; (Catechinic acid; Cyanidol; Gambircatechin)	LD50(rat) p.o.<NL>LD50(rat) s.c.<NL>LD50(rat) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.<NL>LD50(mouse) i.v.	>10 g/kg<NL>>5 g/kg<NL>>100 mg/kg<NL>>10 g/kg<NL>>5 g/kg<NL>>100 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Gambir-Catechu	
e`vpK@@@DKEcolRVY[W_\bbVTTbTUfRdrvRbTTrJbTTrQEDag`VQPtpLJnkTuUUUUUUUUUUUUUUURSBxTd\`RRQTfVtnStATLigJEbjuP@	682.8008	Cheirosid A	LD50(cat) i.v.	683 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Cheiranthus cheiri	
edqpO@@@DKNacghZVQ]_Px|bbVTTbTUfRdrbNRbTTrJbTTrQEDag`VURvrNImkTuUUUUTuUUUUUUUUUUILKaRQrAIIUSYWKy@qFXkeRiVFju@@	712.7829	Cheirotoxin	LD50(cat) i.v.	0.1 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Cheiranthus cheiri	
fmoaPBM@iTZ}Rodie]VV_UmsENBMXLRmhH@@B@BJh@@@	365.38385	Chelerythrin; (Toddalin)	LD50(mouse) s.c.	95 mg/kg	inhibitor	protein kinase C	protein kinase C	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Chelerythrine 	Origin: Chelidonium majus; Dicentra spectabilis; Eschscholzia californica	
feaP@M@iGhtie]VVU}U\TxHu`ijt\zB@jjj`BjHKDdZVP@	353.37286	Chelidonin; (Stylophorin; Diphyllin)	LD50(mouse) i.v.<NL>LD50(mouse) s.c.<NL>LD(Guinea Pig) s.c.	34.6 mg/kg<NL>125 mg/kg<NL>2 g/kg	inducer of apoptosis triggering cell death			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Chelidronium majus	
fa{P`@I^A[IELeLhmCEDelsbcYKfm@@AEUUTaQMIrsBp@	324.42255	Chinidin (Conchinin; beta-Chinin; Quinidine)	LD50(cat) i.v.<NL>LD50(mouse) p.o.<NL>LD50(rat) i.v.	21.6 mg/kg<NL>535 mg/kg<NL>23 mg/kg	class I antiarrhythmic agent<NL>inhibits cytochrome P450 enzyme 2D6			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Quinidine<NL>RTECS	Origin: Cinchona pubscens (succirubra)	
fa{P`@I^A[IELeLhmCEDelsbcYKfm@@AEUUTaQMQtsBp@	324.42255	Quinine	LDLo(rat) p.o.<NL>LD50(mouse) i.v.<NL>LD50(guinea pig) p.o.<NL>IC50 5-HT3	800 mg/kg<NL>68 mg/kg<NL>1800 mg/kg<NL>13.4 mcM	antagonist	5-HT3	5-HT	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.nature.com/bjp/journal/v151/n5/abs/0707238a.html 	Origin: Cinchona pubescens (succirubra)	
fikAH@@HdxIZmGdTRTRbTtTRlT^oYzuMUPUPMEABQbTmJAH	354.3099	Chlorogenic acid	LD50 (rat) i.p.<NL>LDLo(rat) i.p.	4000 mg/kg<NL>4 g/kg	inhibitor of the tumor promoting activity of phorbol esters			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://en.wikipedia.org/wiki/Chlorogenic_acid 	Origin: Coffea arabica	
fdeA`@@BMdTTTTTTVnxkWgA`@HB@H@@@	240.25728	Chrysarobin; (Chrysophanol) 						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Andira araroba Aguiar <NL>mesomeric structure with a ketone function on the middle ring	
fli@`@@IRYU]UUVijYnzjDIcEre@	258.35968	Cicutoxin	LD50(mouse) i.p.<NL>LDLo(cat) p.o.<NL>LDLo(cat) i.v.	48.3 mg/kg<NL>7 mg/kg<NL>5.36 mg/kg	antagonist	GABA-A	GABA	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://de.wikipedia.org/wiki/Cicutoxin 	Origin: Cicuta virosa	
ffsQ@@FNAdTTTTRbTVQqTzt[ICfhJ@j@hdhIAXeiF@@	294.39667	Cinchonidin	LD50(rat) i.p.	206 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Cinchona pubescens (succirubra)	
ffsQ@@FNAdTTTTRbTVQqTzt[ICfhJ@j@hdhIAXUiF@@	294.39667	Cinchonin	LD50(rat) i.p.	152 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Cinchona pubescens (succirubra)	
fncA`@@RmdTTRRrRabbJaF^BtuTtuUMUab]@jDd	316.43933	Cinerin I	LD50(rat)	1050 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Chrysanthemum cinerariifolium	
fe{AP@@Rmt^QQQIKIJFJHjJDcOAZZjZZjffjpqN`TbUf@	360.44833	Cinerin II						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Chrysanthemum cinerariifolium	
ffc`P@H`QxNQQJJIJIZJHiSkQSejB`jFjhhaEqFUh@	303.35675	Cocain	LD50(rat) p.o.<NL>Lethal Dose(human) i.v.	17.5 mg/kg<NL>15 mg/kg	reuptake inhibitor	dopamine reuptake<NL>noradrenaline reuptake<NL>serotonin reuptake		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Cocaine<NL>http://www.suchtmittel.de/info/kok<NL>ain/000205.php 	Origin: Erythroxylum coca	
dg|d@Dq]@\bbbbfJSSimUSTs@@	194.1934	Coffein; (Caffein; Thein; Guaranin; Methyltheobromine; Koffein)	LD50(rat) p.o.	200 mg/kg	antagonist	Adenosine	Adenosine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://thebrain.mcgill.ca/flash/i/i_03/i_03_m/i_03_m_par/i_03_m_par_cafein<NL>e.html 	Origin: Coffea arabica; Cola acuminata; Ilex paraguariensis	
fk`p@C@Hfh}yEEDdhUEDeDieFlJWhefuKUUATCTULPU@@	399.4415	Colchicin	LD(human adult)<NL>LD(kids)<NL>LD(farm animals)<NL>LD50 (cat) i.v.<NL>LD50 (guinea pig) i.v.<NL>LD50 (rat) i.v.<NL>LD50 (mouse) i.v.	20 mg<NL>5 mg<NL>1 mg/kg<NL>0.25 mg/kg<NL>0.5 mg/kg<NL>1.7 mg/kg<NL>3.5 mg/kg	inhibits microtubule polymerization by binding to tubulin			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Colchicine 	Origin: Colchicum autumnale; Gloriosa superba; Gloriosa rothschildiana	
dif@@@rQQIFfjjjbJ@@	127.22998	DL-Coniin; (Cicutin; Conicin)	LD50(mouse) i.v.<NL>LD50(mouse) s.c.<NL>LD50(mouse) p.o.<NL>LD (human)<NL>IC50 in rat diaphragm	19 mg/kg<NL>80 mg/kg<NL>100 mg/kg<NL>0.1-1.0 g<NL>314mcM	opens the neural ACh receptor	Nicotnic ACh	Nicotinic Acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Coniine<NL>http://cat.inist.fr/?aModele=affic<NL>heN&cpsidt=2522959 	Origin: Conium maculatum L.<NL>Teratogen	
e`ZPB@@@LColdTbRbRUTRtrTfbfkBg@ecbVSWUsuUUTuUUUUUUUTY@bEpaIXgEELeTndLgd@@	444.65335	Convallamarogenin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Convallaria majalis<NL>plant poison	
enSPE@@@DKNacghZV\bbVTTbTUfRdrbNRbTTrHhdL|BrjVvQqZfjjjjjfjjjjjjjqa\JRNPIIJj[Jy_HEHsF@@	550.64246	Convallatoxin; (Convallaton; Corglykon)	LD50(frog) i.v.<NL>LD50(cat) i.v.<NL>IC50 K+ release<NL>IC50 ATPase	0.3 mg/kg<NL>0.07-0.08 mg/kg<NL>0.9 mcM<NL>0.84 mcM	inhibitor	K+release<NL>Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>Eur. J. Biochem. 152, 475-480 (1985) 	Origin: Convallaria majalis; Ornithogalum umbellatum L.	
ffc`P@O@Q[NQQJJIIJZIIUSc^CEjB`jJjhiFhZ@@	305.37262	Convolvamin; (Veratroyltropin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Convolus pseudocantabrica Schrank	
dif@@@rQQIFf@`h@@	121.18234	Conyrin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 		
feoQ`@GQ@cbSK\vnkJzlmV\gIZcfuUUUUST@UASBiFJTl`@	354.44843	Corynanthin; (Rauhimbin)	LDLo(mouse) i.v. of Corynanthine-hydrochloride	75 mg/kg	antagonist	alpha1	Adrenoceptor	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.tocris.com/products/Corynanthine.php 	Origin: Pausinystalia yohimba; Rauwolfia serpentina	
fig`P@C@hwnRJZJIIEIJYII\TZpXekPPTUU@ATTPmP@	341.4056	DL-Corypalmin; (Tetrahydrojatrorrhizin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Corydalis cava; other Corydalis species	
