molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
202	Triamcinolone	123.0795	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O  	394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		125.0587		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		131.0836		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		133.0637		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		135.0794		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		137.0582		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		139.0743		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		141.0537		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		143.084		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		145.0637		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		147.0795		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		148.0835		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		151.0385		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		151.0741		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		152.0769		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		153.0534		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		153.0897		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		155.0688		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		159.0647		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		159.0796		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		160.0827		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		161.0588		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		161.0951		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		162.0977		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		163.0739		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		169.0628		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		169.0835		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		171.0793		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		172.0828		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		173.0946		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		174.0986		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		175.0755		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		175.1101		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		177.0899		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		179.0693		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		181.0855		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		183.0788		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
		185.0595		394.439	0.6205	6	4	115.06	2	0	0	0.545907213
