mz	pains	fsp3    cacao halflife  logs    logd    bioconcentration    igc50   lc50fm  lc50dm
71.903069	1.85272	57.78
71.947182
74.565865
75.419785
75.420715
78.32296
79.322105
81.058884
81.059921
81.116722
83.45752
84.196243
84.528267
86.351273
92.45221
95.990242
106.570053
106.702705
114.06622
116.140869
116.142654
117.28965
120.383957
123.893204
124.408546
130.336121
130.338242
136.051483
136.747696
137.059555
137.100647
137.108337
141.643066
142.949112
143.439148
150.852173
151.942841
157.029755
161.026917
161.910004
165.090988
180.049164
180.114502
192.114746
197.080978
197.226151
197.768494
206.130005
208.065033
208.137634
208.145477
208.224548
208.229523
209.14888
213.269943
218.565918
