compound,mw,,hba,,hbd,,rotb,,arom,,psa,,logp,,,,,
50,313.78824,313.288,4.497421,4,2.50352,2,2.4924037,3,3.503398,3,84.57305,84.08,3.615714,3.1113,,,,
51,423.4146,422.92,5.5068583,5,2.4967244,2,2.509561,4,4.507528,0,93.00781,92.51,4.770029,4.2668,,,,
52,370.0087,369.505,3.4979463,3,1.5110962,1,1.497492,0,0.507711,4,59.393017,58.89,5.2195935,4.7145,,,,
53,299.9203,299.414,3.4950542,3,3.5011015,3,3.5020986,2,2.500086,0,52.983284,52.49,3.9273584,3.425,,,,
54,312.96124,312.442,3.5068414,3,1.5064461,1,1.499622,7,2.508035,2,31.373886,30.87,3.9442558,3.43922,,,,
55,315.85107,315.354,4.505334,4,2.5055408,1,2.4891934,3,3.499292,3,84.583015,84.08,3.412637,2.9079,,,,
56,170.70229,170.197,3.5047286,3,2.4994173,2,2.5003772,0,2.500887,2,89.356895,88.86,0.6933716,0.19079,,,,
57,484.89175,484.394,5.486454,5,0.4968046,0,0.49342757,4,3.5022533,3,57.092915,56.59,4.415166,3.9109,,,,
58,503.08173,502.579,7.5017223,7,1.4939563,1,1.4986011,3,0.5002074,0,99.6251,99.13,4.0255656,3.5238,,,,
59,786.41046,785.890999999,12.479855,12,5.507641,5,5.500433,4,4.49006,2,198.8765,198.3799,6.66327,6.15784,,,,
60,261.59027,261.089,4.49963,4,1.4972796,1,1.497921,5,0.50720686,0,42.0743,41.57,2.3880842,1.884,,,,
61,253.7647,253.262,6.498876,6,4.4954395,4,4.496535,5,2.5069838,2,130.54674,130.05,-0.8043708,-1.3073,,,,
62,214.72427,214.227,6.498232,6,4.500727,4,4.5028667,7,0.4952189,0,96.074066,95.58,0.25328594,-0.2492999999,,,,
63,256.59338,256.096,5.492119,5,2.5177069,2,2.4956188,1,2.5061152,2,91.2063,90.71,2.514877,2.0098,,,,
64,82.60624,82.106,1.5001386,1,1.5033749,1,2.5000966,0,1.5027525,1,29.181927,28.68,1.2200947,0.71812,,,,
65,609.0547,608.549,15.501019,15,8.492197,9,1.4993916,7,3.4888647,3,238.69739,238.1999999999,-0.58529556,-1.0897,,,,
66,609.05457,608.549,15.497513,15,8.516298,8,8.490599,7,3.5014172,3,238.69801,238.1999999999,-0.58529556,-1.0897,,,,
69,255.82655,255.324,4.4986267,4,2.495082,2,2.492936,3,2.4916785,2,85.582115,85.08,2.0301273,1.526099,,,,
70,122.62665,122.127,2.4986072,2,1.5091311,1,1.5026087,1,1.4966816,1,56.482197,55.98,0.68346936,0.1805,,,,
72,322.3328,321.829,3.5006921,3,0.5009603,0,0.5003305,3,2.4972253,2,30.047018,118.04999999,4.176647,0.0735,,,,
73,417.01007,416.514,6.502864,6,2.5073442,2,2.5018234,2,0.4972518,0,93.5622,29.54,2.8294673,3.6739,,,,
74,224.7183,224.22,4.5016522,4,1.501934,1,1.5017351,2,2.499904,2,82.55041,93.06,-1.0711668,2.326,,,,
75,436.02942,435.528,6.4930563,6,2.4947236,2,2.4973266,10,3.4938927,3,112.57742,82.05,4.6647615,-1.574,,,,
76,429.0373,428.54,4.4997807,4,1.4906304,1,1.4976887,7,3.5077896,3,87.6333,112.07,5.280683,4.1617,,,,
77,354.68704,354.189,5.487946,5,2.509486,2,2.490644,6,2.501956,2,76.12745,87.13,4.4117966,4.7774,,,,
78,291.93716,291.438,1.4927872,1,0.5042375,0,0.50992477,4,2.4959493,2,3.7331464,75.63,5.3799853,3.9073,,,,
79,253.78021,253.283,5.505346,5,2.4957013,2,2.497813,3,2.497239,2,98.720276,3.24,1.8685437,4.8773,,,,
80,280.8215,280.323,3.5178895,3,0.48431504,0,0.509624,3,3.5005045,3,39.952015,98.22,4.7518387,4.2472,,,,
81,721.4645,720.962,7.4986367,7,4.5043106,4,4.4917912,17,4.51569,4,146.28253,98.22,6.4085484,4.2472,,,,
82,308.87317,308.378,5.4876213,5,4.5020494,4,4.49327,8,1.5069883,1,113.15785,145.78,1.0357852,5.9052,,,,
83,359.91113,359.401,5.502771,5,1.4996086,1,1.5062836,4,2.4920502,2,66.27502,65.78,2.8207748,2.3156,,,,
84,159.73505,159.229,3.491231,3,2.496616,2,2.4956627,5,0.5083081,0,63.82093,63.319999999,1.5849171,1.0821,,,,
85,276.72034,276.2139999,3.4897833,3,1.5000209,1,1.4944538,3,1.504725,1,72.7339,72.24,3.7113504,3.2081,,,,
86,548.16705,547.674,8.49522,8,3.5017786,3,3.4945936,11,2.4968576,2,140.9035,3.2081,2.878683,2.3752999,,,,
87,217.79233,217.289999,3.5094495,3,2.4853826,2,2.495855,3,0.5067033,0,58.109097,57.61,1.1316037,0.6279,,,,
88,308.81744,308.315,5.4828544,5,1.4870135,1,1.4915899,5,2.5010078,2,99.04032,98.54,3.2621548,2.7586,,,,
89,278.8246,278.312,4.501488,4,0.49877033,0,0.49051622,5,2.504679,2,79.390686,78.89,0.6969059,0.193,,,,
90,209.7557,209.253,4.4984255,4,3.506525,3,3.5017066,1,1.4920444,1,91.65568,91.16,0.6753896,0.17237,,,,
91,261.75464,261.252,3.5015814,3,1.5093762,1,1.5162958,1,2.5006382,2,59.79904,59.3,2.8512504,2.346,,,,
92,290.8187,290.323,7.4994597,7,2.4982183,2,2.501238,5,2.5036545,2,106.0111,105.51,1.7608138,1.2576,,,,
93,299.8532,299.355,4.4973354,4,2.4967384,2,2.492692,3,3.4983926,3,67.5101,67.0099999,4.3965383,3.8924,,,,
94,331.85583,331.353,5.497809,4,2.5000937,3,2.5000312,2,2.4983406,2,100.09914,99.6,2.0835857,1.581,,,,
95,250.83252,250.338,3.5014384,3,1.5004817,1,1.5065994,6,1.5036974,1,47.036724,46.53,4.075493,3.57324,,,,
96,295.7992,295.298,4.5041976,4,2.511321,2,2.499533,3,3.5015528,3,84.57369,84.0799999999,3.4768507,2.9722,,,,
97,254.77979,254.285,3.510175,3,1.5042956,1,1.4956509,4,2.5045152,2,54.87685,54.37,3.609589,3.1057,,,,
