molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
,,187.1463,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,189.1264,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,193.0999,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,195.1159,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,196.1199,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,197.0951,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,197.1315,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,198.1365,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,199.1106,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,199.1471,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,201.1268,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,201.1632,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,202.1301,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,202.1671,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,203.142,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,204.1461,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,205.1005,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,207.116,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,208.1222,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,209.0955,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
